Pretrained model,Lower Bound,Upper bound,Scaling,Features,Accuracy Score,F1 Score,Cohens Kappa Score
resnet101,0,340,MinMax,1544,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1153,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1106,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,Standardization,1106,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,MinMax,1074,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1755,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1799,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,Standardization,1711,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,MinMax,1698,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,Standardization,1788,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,MinMax,1490,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1371,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1232,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1807,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,Standardization,1366,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,Standardization,1447,0.47619047619047616,0.3955500419928324,0.1905813097866078
resnet101,0,340,Standardization,1694,0.47619047619047616,0.3955500419928324,0.1905813097866078
resnet101,0,340,MinMax,1515,0.6904761904761905,0.6343181297676304,0.5295212490952331
resnet101,0,340,Standardization,1459,0.47619047619047616,0.3955500419928324,0.1905813097866078
resnet101,0,340,Standardization,1718,0.47619047619047616,0.3955500419928324,0.1905813097866078
resnet101,0,340,Standardization,1544,0.47619047619047616,0.3955500419928324,0.1905813097866078
resnet101,0,340,Standardization,1159,0.47619047619047616,0.3955500419928324,0.1905813097866078
resnet101,0,340,MinMax,1670,0.6904761904761905,0.6343181297676304,0.5295212490952331
resnet101,0,340,MinMax,1358,0.6904761904761905,0.6343181297676304,0.5295212490952331
resnet101,0,340,Standardization,1868,0.47619047619047616,0.3955500419928324,0.1905813097866078
resnet101,0,340,MinMax,1291,0.6904761904761905,0.6343181297676304,0.5295212490952331
resnet101,0,340,MinMax,1079,0.6904761904761905,0.6343181297676304,0.5295212490952331
resnet101,0,340,Standardization,1143,0.47619047619047616,0.3955500419928324,0.1905813097866078
resnet101,0,340,Standardization,1869,0.47619047619047616,0.3955500419928324,0.1905813097866078
resnet101,0,340,MinMax,1512,0.6904761904761905,0.6343181297676304,0.5295212490952331
resnet101,0,340,Standardization,1380,0.47619047619047616,0.3955500419928324,0.1905813097866078
resnet101,0,340,MinMax,1423,0.6904761904761905,0.6343181297676304,0.5295212490952331
resnet101,0,340,MinMax,1719,0.6904761904761905,0.6343181297676304,0.5295212490952331
resnet101,0,340,Standardization,1060,0.47619047619047616,0.3955500419928324,0.1905813097866078
resnet101,0,340,MinMax,1126,0.6904761904761905,0.6343181297676304,0.5295212490952331
resnet101,0,340,MinMax,1567,0.6904761904761905,0.6343181297676304,0.5295212490952331
resnet101,0,340,Standardization,1571,0.47619047619047616,0.3955500419928324,0.1905813097866078
resnet101,0,340,MinMax,1772,0.6904761904761905,0.6343181297676304,0.5295212490952331
